capacity_slack,elapsed_sec,final_gap_to_instance_best,final_objective,grid_capacity_slack,grid_mode,grid_tw_tightness,instance_tag,iters_to_target,k_vehicles,method,n_requests,outcome,reference_best,remove_count,seed,shots,target_eps,time_to_target_sec,tw_tightness
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,95,20,hybrid_alns,200,time_to_target,,2,10,16,0.01,38.763291299999764,0.15
0.15,35.75807429999986,0.07893417867512674,554588.5889921203,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,regret_k,200,fixed_budget,514015.2197913735,2,20,16,,,0.15
0.15,37.275236499999664,0.03938524144104652,534259.8333272294,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,standard_alns,200,fixed_budget,514015.2197913735,2,20,16,,,0.15
0.15,48.86659270000018,0.0,514015.2197913735,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,qaoa,200,fixed_budget,514015.2197913735,2,20,16,,,0.15
0.15,49.677054200000384,0.11040987193453555,570767.5743809412,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,efficient_su2,200,fixed_budget,514015.2197913735,2,20,16,,,0.15
0.15,41.04730070000005,0.0628952211480301,546344.3207136053,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,hybrid_alns,200,fixed_budget,514015.2197913735,2,20,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,regret_k,200,time_to_target,,2,20,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,standard_alns,200,time_to_target,,2,20,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,97,20,qaoa,200,time_to_target,,2,20,16,0.01,47.82750289999967,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,efficient_su2,200,time_to_target,,2,20,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,hybrid_alns,200,time_to_target,,2,20,16,0.01,inf,0.15
0.15,33.615666200000305,0.14269637568133942,558889.4683805513,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,regret_k,200,fixed_budget,489097.08674564597,2,30,16,,,0.15
0.15,35.50486819999969,0.05140056094291756,514236.951359919,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,standard_alns,200,fixed_budget,489097.08674564597,2,30,16,,,0.15
0.15,48.59271330000047,0.0,489097.08674564597,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,qaoa,200,fixed_budget,489097.08674564597,2,30,16,,,0.15
0.15,49.19491870000002,0.017543416862785727,497677.5208247989,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,efficient_su2,200,fixed_budget,489097.08674564597,2,30,16,,,0.15
0.15,39.365694000000076,0.0811548249005198,528789.6751798432,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,hybrid_alns,200,fixed_budget,489097.08674564597,2,30,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,regret_k,200,time_to_target,,2,30,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,standard_alns,200,time_to_target,,2,30,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,97,20,qaoa,200,time_to_target,,2,30,16,0.01,47.60621590000028,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,efficient_su2,200,time_to_target,,2,30,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,hybrid_alns,200,time_to_target,,2,30,16,0.01,inf,0.15
0.15,35.030405799999244,0.028374390380069597,557500.7741248842,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,regret_k,200,fixed_budget,542118.4923895678,2,40,16,,,0.15
0.15,33.58940849999999,0.03032112617989346,558556.1356017655,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,standard_alns,200,fixed_budget,542118.4923895678,2,40,16,,,0.15
0.15,48.39767709999978,0.0,542118.4923895678,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,qaoa,200,fixed_budget,542118.4923895678,2,40,16,,,0.15
0.15,51.474151899999924,0.06235078375034315,575920.0052756118,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,efficient_su2,200,fixed_budget,542118.4923895678,2,40,16,,,0.15
0.15,39.089664000000084,0.047453470794634786,567843.8964354076,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,hybrid_alns,200,fixed_budget,542118.4923895678,2,40,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,regret_k,200,time_to_target,,2,40,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,standard_alns,200,time_to_target,,2,40,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,94,20,qaoa,200,time_to_target,,2,40,16,0.01,45.9305260000001,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,efficient_su2,200,time_to_target,,2,40,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,hybrid_alns,200,time_to_target,,2,40,16,0.01,inf,0.15
0.15,34.71706659999927,0.09442153016557349,550493.9875474278,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,regret_k,200,fixed_budget,502999.96150856453,2,50,16,,,0.15
0.15,36.6132190999997,0.11977032141973332,563244.4285725588,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,standard_alns,200,fixed_budget,502999.96150856453,2,50,16,,,0.15
0.15,48.35853759999918,0.009194575516547175,507624.83263947535,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,qaoa,200,fixed_budget,502999.96150856453,2,50,16,,,0.15
0.15,51.229544499999975,0.0,502999.96150856453,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,efficient_su2,200,fixed_budget,502999.96150856453,2,50,16,,,0.15
0.15,40.25619200000074,0.020029484548356832,513074.7914654244,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,hybrid_alns,200,fixed_budget,502999.96150856453,2,50,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,regret_k,200,time_to_target,,2,50,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,standard_alns,200,time_to_target,,2,50,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,98,20,qaoa,200,time_to_target,,2,50,16,0.01,47.951086099999884,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,95,20,efficient_su2,200,time_to_target,,2,50,16,0.01,49.1936110000006,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,hybrid_alns,200,time_to_target,,2,50,16,0.01,inf,0.15
0.15,15.498569499999576,0.0,335084.83478624286,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,regret_k,100,fixed_budget,335084.83478624286,2,10,128,,,0.15
0.15,16.573090899999443,0.020085826673787454,341815.29069877404,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,standard_alns,100,fixed_budget,335084.83478624286,2,10,128,,,0.15
